block_name, x1, y1, z1, x2, y2, z2
CHECKIN_1_SERVER, 11.5, 7.25, 0, 12.5, 8.75, 0
CHECKIN_1_QUEUE000, 11.2, 8.0, 0, 6.2, 8.0, 0
CHECKIN_2_SERVER, 15.5, 14.25, 0, 16.5, 15.75, 0
CHECKIN_2_QUEUE000, 15.2, 15.0, 0, 10.2, 15.0, 0
CHECKIN_3_SERVER, 11.5, 21.25, 0, 12.5, 22.75, 0
CHECKIN_3_QUEUE000, 11.2, 22.0, 0, 6.2, 22.0, 0
RX_1_SERVER, 32.0, 9.25, 0, 33.0, 10.75, 0
RX_1_QUEUE000, 31.7, 10.0, 0, 26.7, 10.0, 0
RX_2_SERVER, 32.0, 19.25, 0, 33.0, 20.75, 0
RX_2_QUEUE000, 31.7, 20.0, 0, 26.7, 20.0, 0
BOARDING_1_SERVER, 58.0, 9.0, 0, 59.0, 21.0, 0
