block_name, figure_type, radius, x1, y1, z1, x2, y2, z2
AULA, CIRCLE, 0.5, 36, 13.5, 0, 36, 13.5, 0
AULA, CIRCLE, 0.5, 54, 13.5, 0, 54, 13.5, 0
AULA, CIRCLE, 0.5, 36, 24.5, 0, 36, 24.5, 0
AULA, CIRCLE, 0.5, 54, 24.5, 0, 54, 24.5, 0
AULA, CIRCLE, 0.5, 36, 35.5, 0, 36, 35.5, 0
AULA, CIRCLE, 0.5, 54, 35.5, 0, 54, 35.5, 0
AULA, CIRCLE, 0.5, 36, 46.5, 0, 36, 46.5, 0
AULA, CIRCLE, 0.5, 54, 46.5, 0, 54, 46.5, 0
AULA, CIRCLE, 0.5, 36, 13.5, 3, 36, 13.5, 3
AULA, CIRCLE, 0.5, 54, 13.5, 3, 54, 13.5, 3
AULA, CIRCLE, 0.5, 36, 24.5, 3, 36, 24.5, 3
AULA, CIRCLE, 0.5, 54, 24.5, 3, 54, 24.5, 3
AULA, CIRCLE, 0.5, 36, 35.5, 3, 36, 35.5, 3
AULA, CIRCLE, 0.5, 54, 35.5, 3, 54, 35.5, 3
AULA, CIRCLE, 0.5, 36, 46.5, 3, 36, 46.5, 3
AULA, CIRCLE, 0.5, 54, 46.5, 3, 54, 46.5, 3
